Datetime;Open;High;Low;Close;Vol
1542963600000;1136,6;1136,6;1131,1;1132,1;1125
1542974400000;1126,6;1133,6;1126,1;1127,1;2230
1542978000000;1128,1;1134,6;1110,6;1111,1;5825
1542981600000;1110,6;1111,1;1101,6;1110,1;5941
1542985200000;1109,6;1117,6;1109,1;1111,6;3892
1542988800000;1111,1;1114,6;1110,1;1113,1;2373
1542992400000;1113,1;1116,1;1110,1;1111,1;2024
1542996000000;1111,6;1112,1;1106,1;1108,6;1807
1543222800000;1107,6;1114,6;1106,1;1114,1;1443
1543226400000;1114,6;1115,6;1111,1;1113,6;1160
1543233600000;1112,6;1116,6;1110,6;1113,6;3067
1543237200000;1114,1;1116,1;1101,1;1101,1;4724
1543240800000;1100,6;1106,1;1100,1;1102,1;3405
1543244400000;1101,6;1104,6;1100,1;1101,1;2083
1543248000000;1100,1;1103,1;1096,6;1099,6;4077
1543312800000;1105,1;1113,1;1096,6;1111,1;8003
1543316400000;1111,1;1124,1;1108,6;1120,6;2046
1543323600000;1119,1;1124,1;1112,1;1116,6;7854
1543327200000;1117,1;1137,6;1117,1;1132,1;7769
1543338000000;1128,6;1138,1;1126,1;1133,6;3935
1543341600000;1128,1;1142,1;1127,6;1132,1;12886
1543399200000;1133,6;1138,6;1131,1;1133,1;1449
1543402800000;1131,6;1133,6;1127,1;1132,1;1001
1543406400000;1132,1;1132,6;1126,6;1129,6;1818
1543413600000;1124,1;1137,1;1113,1;1116,1;10093
1543482000000;1135,6;1139,6;1115,1;1136,1;14378
1543492800000;1130,1;1139,1;1128,6;1136,6;1736
1543496400000;1137,1;1150,1;1127,6;1130,6;6548
1543500000000;1144,6;1145,1;1128,1;1131,1;4722
1543503600000;1130,6;1134,6;1123,6;1123,6;5377
1543507200000;1123,6;1126,1;1119,6;1123,1;3986
1543510800000;1120,1;1125,6;1117,6;1122,1;3180
1543514400000;1122,6;1125,6;1120,6;1120,6;2278
1543572000000;1121,1;1123,1;1116,1;1121,6;1574
1543582800000;1120,6;1123,6;1101,1;1121,1;8237
1543586400000;1102,6;1102,6;1080,6;1080,6;9478
1543831200000;1088,6;1091,6;1071,1;1091,1;12267
1543834800000;1090,6;1093,1;1072,1;1072,6;17209
