Datetime;Open;High;Low;Close;Vol
1542873600000;1864,8;1865,3;1850,3;1852,8;778
1542877200000;1854,3;1856,8;1849,3;1855,8;947
1542880800000;1855,3;1864,8;1854,8;1862,3;800
1542884400000;1862,8;1867,8;1858,8;1865,3;857
1542888000000;1865,8;1866,3;1859,3;1859,3;447
1542898800000;1868,3;1874,8;1856,8;1868,8;1435
1542902400000;1863,8;1865,8;1857,8;1859,8;413
1542906000000;1859,8;1860,8;1857,3;1859,3;140
1542960000000;1876,3;1876,8;1860,2;1872,8;1438
1542967200000;1874,8;1874,8;1859,3;1860,8;717
1542981600000;1859,3;1875,8;1859,3;1870,3;2365
1542985200000;1868,8;1870,8;1857,8;1859,8;1322
1542988800000;1865,3;1870,8;1865,3;1868,3;612
1543222800000;1927;1931;1864,3;1927;79130
1543226400000;1928;1928,3;1920,8;1922,5;4976
1543230000000;1922;1927;1919,8;1921,3;5423
1543233600000;1921,8;1924,3;1918,8;1921,8;446
1543237200000;1918,8;1919,5;1914,8;1916,8;2060
1543248000000;1924,8;1925,3;1915,3;1924,8;1713
1543258800000;1920,8;1923,7;1917,3;1919,3;813
1543305600000;1922,3;1924,8;1909,3;1913,3;733
1543309200000;1922,8;1928,8;1910,8;1922,8;877
1543316400000;1918,3;1928,8;1915,3;1923,3;1630
1543320000000;1915,3;1918,8;1912,3;1915,3;726
1543323600000;1914,8;1916,3;1909,3;1910,8;353
1543327200000;1914,3;1918,3;1907,8;1915,3;813
1543330800000;1915,3;1919,8;1911,8;1915,8;485
1543334400000;1915,3;1919,8;1911,3;1915,3;895
1543338000000;1916,3;1917,8;1913,3;1916,3;787
1543345200000;1913,2;1914,2;1912,7;1913,2;33
1543392000000;1914,3;1920,8;1907,8;1915,8;1957
1543406400000;1913,8;1917,3;1908,3;1915,8;1188
1543417200000;1914,8;1919,3;1906,3;1916,8;2959
1543420800000;1910,8;1912,3;1908,8;1909,3;353
1543424400000;1922,3;1924,8;1909,3;1923,8;986
1543428000000;1923,8;1927,3;1921,8;1926,8;283
1543478400000;1926,8;1932,3;1921,8;1922,8;1128
1543482000000;1922,8;1923,8;1911,8;1914,3;214
1543489200000;1910,8;1920,3;1903,8;1907,3;2001
1543492800000;1907,3;1913,8;1906,3;1910,3;609
1543500000000;1914,8;1921,8;1908,8;1914,8;1038
1543503600000;1918,3;1920,3;1910,3;1912,3;1065
1543507200000;1914,3;1917,3;1909,3;1915,8;1201
1543597200000;1918,8;1924,3;1905,3;1914,8;6047
1543838400000;1954,3;1959,8;1916,3;1918,7;1587
1543842000000;1953,3;1966,3;1950,8;1958,8;2232
1543856400000;1956,8;1963,8;1956,8;1962,3;388
1543910400000;1955,3;1960,3;1952,3;1953,3;685
1543914000000;1955,8;1964,8;1951,3;1962,2;4456
1543917600000;1953;1955;1950,5;1951;17443
1543921200000;1951,5;1952,5;1948;1949;13396
1543924800000;1950;1950,5;1945;1946;13482
1543928400000;1946;1948;1946;1948;2924
1543935600000;1943,5;1950,5;1940;1941;64576
1543939200000;1934,5;1941;1933;1934,5;19137
1543942800000;1917,5;1933;1910;1914;15456
1543946400000;1914;1915;1902;1911;9104
1544014800000;1937;1938;1908;1924;114115
1544018400000;1935;1937,5;1933,5;1935;7982
1544022000000;1935,5;1938,5;1932,5;1935,5;9013
1544029200000;1931;1934,5;1928,5;1930;8383
1544032800000;1930,5;1931;1930;1930;426
1544036400000;1930,5;1933;1930;1930,5;407
1544083200000;1911,5;1913,5;1900;1900,5;43891
1544090400000;1885,5;1889;1882,5;1885;31666
1544119200000;1878,5;1880,5;1869;1871,5;8544
1544173200000;1879,5;1902,5;1857;1879,5;293010
1544180400000;1883,5;1886;1875;1885,5;70914
1544187600000;1884,5;1891,5;1878,5;1889;35846
1544202000000;1868;1895;1866;1882;113098
1544205600000;1871,5;1873,5;1861;1862;4791
1544436000000;1866,5;1869;1851,5;1852,5;120676
1544461200000;1846;1870;1839;1845,5;207143
1544464800000;1855,5;1857,5;1853;1853;6775
1544533200000;1865;1875;1841,5;1865;139675
1544536800000;1873,5;1876;1868;1869;31230
1544540400000;1869;1873,5;1862,5;1863,5;37608
1544544000000;1863,5;1866,5;1856,5;1861,5;29643
1544547600000;1861;1861,5;1852;1856;13949
1544551200000;1856,5;1858,5;1850,5;1851,5;10025
1544554800000;1851;1861;1850,5;1860,5;4416
1544601600000;1866;1868;1861,5;1866;10187
1544605200000;1865,5;1874,5;1865;1872;37184
1544608800000;1874;1877;1871;1875,5;22313
1544619600000;1888,5;1892,5;1871;1888,5;49769
1544623200000;1891;1894,5;1887;1891,5;36420
1544626800000;1894,5;1897,5;1890;1896;29255
1544630400000;1895,5;1899,5;1892,5;1896;15045
1544634000000;1897,5;1901,5;1895,5;1898;17402
1544637600000;1909;1910,5;1897,5;1909;3334
1544688000000;1910;1919,5;1905,5;1908;42538
1544691600000;1908;1909,5;1894,5;1897;25874
1544695200000;1901;1905,5;1896;1905,5;13978
1544698800000;1904,5;1913;1904;1908,5;16385
1544706000000;1911;1913,5;1902;1908,5;51358
1544709600000;1908,5;1913,5;1904,5;1904,5;22653
1544713200000;1907,5;1908,5;1904,5;1905,5;9090
1544716800000;1905;1915,5;1900,5;1902;57052
1544720400000;1901,5;1903,5;1900,5;1903;11321
1544724000000;1902,5;1904,5;1900,5;1903,5;7077
1544727600000;1901;1903,5;1898;1899;4995
1544774400000;1889;1889,5;1875,5;1876;21188
1544778000000;1875,5;1882;1872,5;1880;24866
