Datetime;Open;High;Low;Close;Vol
1603908000000;67277,1;67289;67235;67250;24462
1603911600000;67250;67277,5;67213,5;67266,9;23709
1603915200000;67266,9;67286,7;67263,09999999999;67267,09999999999;2514
1603918800000;67268;67271,5;67222,8;67222,8;420
1603922400000;67216,7;67279,59999999999;67214,09999999999;67274,8;2574
1603926000000;67281,3;67288,90000000001;67231,1;67232,3;3164
1603929600000;67232,4;67270,59999999999;67205,59999999999;67270,4;8419
1603933200000;67270,4;67279,9;67163;67178,7;34133
1603936800000;67178,7;67230,09999999999;67174,5;67204;21089
1603940400000;67204,5;67208,6;67111;67112,8;20964
1603944000000;67112,7;67120,8;67074,09999999999;67087,5;17286
1603947600000;67087,4;67103,5;67061,4;67086,2;24436
1603951200000;67084,6;67088,5;67024;67052,70000000001;28810
1603954800000;67052,8;67097,1;67000,90000000001;67053,40000000001;34962
1603958400000;67053,4;67145,2;67035,29999999999;67093,7;37136
1603962000000;67092;67115;67052,8;67115;23998
1603965600000;67115,5;67126,7;67083,1;67117;13602
1603969200000;67117,2;67204,4;67117,2;67182,9;18973
1603972800000;67180,8;67191,1;67076,40000000001;67104;18386
1603976400000;67105;67170,1;67067,6;67097,7;37525
1603980000000;67098;67163,3;67090,8;67136,3;44259
1603983600000;67136,3;67237,5;67132;67209,3;34864
1603987200000;67209,2;67209,2;67130,2;67159,7;28152
1603990800000;67159,7;67174,3;67120,9;67124,9;23487
1603994400000;67124,9;67124,9;67084,4;67106,09999999999;18049
1603998000000;67106;67106;67048,3;67069,9;17746
1604001600000;67069,9;67084,2;67051,9;67072,09999999999;3246
1604005200000;67044;67048,5;67019;67025,4;693
1604008800000;67020;67080;67020;67075,5;3625
1604012400000;67070,2;67070,2;67026,59999999999;67054,4;2349
1604016000000;67054,4;67084,9;67025,4;67026,09999999999;8185
1604019600000;67026,8;67062;66922,2;66935,7;36106
1604023200000;66936,6;66963,5;66880,90000000001;66927;30489
1604026800000;66926;66927;66790,1;66798,8;25213
1604030400000;66798,8;66845;66764,40000000001;66839;18478
1604034000000;66839;66936,4;66827,6;66847,5;36090
1604037600000;66849,7;66968,09999999999;66849,7;66945,7;34361
1604041200000;66945,7;67043;66930,8;67004;36050
1604044800000;67004,3;67027;66959,1;66966;35363
1604048400000;66966,7;66966,7;66857,4;66889,09999999999;25709
