Datetime;Open;High;Low;Close;Vol
1542848400000;9658,6;9660,6;9657,1;9657,6;188
1542852000000;9657,1;9657,1;9650,1;9652,1;128
1542855600000;9653,1;9654,1;9651,6;9654,1;63
1542866400000;9651,2;9656,1;9644,7;9652,1;421
1542870000000;9648,7;9654,7;9645,2;9652,2;391
1542873600000;9651,7;9656,2;9646,7;9648,7;295
1542884400000;9632,2;9651,7;9619,7;9632,7;2682
1542888000000;9631,7;9641,2;9631,2;9637,7;498
1542891600000;9638,2;9642,2;9638,2;9641,2;252
1542895200000;9641,7;9642,7;9631,2;9637,7;651
1542898800000;9641,7;9648,2;9637,2;9639,7;413
1542934800000;9639,1;9643,7;9634,7;9637,2;338
1542938400000;9637,6;9639,6;9634,1;9636,6;166
1542942000000;9637,1;9637,1;9632,1;9633,1;98
1542952800000;9634,2;9635,7;9631,1;9633,1;170
1542956400000;9636,2;9638,7;9629,2;9633,2;427
1542960000000;9634,7;9664,2;9629,7;9661,7;1348
1542963600000;9656,2;9662,7;9651,7;9655,7;363
1542967200000;9656,2;9674,7;9653,7;9673,2;529
1542988800000;9678,2;9685,7;9666,7;9674,7;3110
1542992400000;9685,7;9685,7;9676,7;9681,2;365
1543194000000;9685,1;9692,6;9681,7;9688,6;304
1543197600000;9690,1;9691,6;9688,6;9691,6;98
1543201200000;9690,6;9691,1;9684,1;9685,1;107
1543204800000;9684,1;9685,6;9680,1;9680,1;129
1543208400000;9681,6;9682,1;9677,1;9678,1;143
1543212000000;9679,2;9680,2;9673,2;9675,2;177
1543215600000;9674,7;9675,7;9665,2;9672,2;625
1543219200000;9670,2;9674,2;9659,2;9660,7;550
1543222800000;9663,2;9664,7;9656,2;9664,2;267
1543226400000;9661,2;9668,2;9655,2;9664,7;435
1543230000000;9663,7;9665,2;9661,2;9662,2;203
1543233600000;9662,7;9672,7;9661,2;9672,2;254
1543240800000;9667,2;9679,2;9659,7;9672,2;1165
1543244400000;9676,7;9689,2;9673,7;9688,2;473
1543248000000;9688,7;9692,7;9683,7;9692,7;399
1543258800000;9694,7;9698,2;9685,7;9694,2;626
1543262400000;9695,1;9697;9693,6;9695,1;97
1543266000000;9695,6;9699,6;9694,1;9695,6;219
1543287600000;9692,6;9697,1;9690,1;9693,6;338
1543291200000;9694,1;9694,6;9694,1;9694,6;19
1543294800000;9689,1;9694,1;9687,1;9687,6;137
1543298400000;9689,2;9691,7;9688,7;9690,2;29
1543305600000;9716,2;9718,2;9687,2;9713,2;2067
1543309200000;9705,2;9714,2;9703,7;9705,7;384
1543312800000;9712,7;9712,7;9699,7;9709,2;283
1543316400000;9708,2;9713,2;9704,7;9707,2;264
1543320000000;9707,7;9711,2;9700,7;9702,2;220
1543323600000;9700,7;9707,7;9699,7;9702,7;456
1543327200000;9707,2;9722,2;9695,2;9721,2;1469
1543330800000;9722,7;9729,7;9713,2;9727,7;1208
1543334400000;9728,2;9738,7;9725,7;9737,7;927
1543338000000;9736,7;9740,2;9729,7;9731,2;619
1543341600000;9729,2;9734,2;9721,2;9725,7;665
1543348800000;9727,6;9729,6;9724,1;9725,1;226
1543366800000;9730,1;9732,6;9730,1;9731,1;102
1543374000000;9726,6;9732,6;9723,6;9731,1;571
1543388400000;9723,7;9734,2;9723,2;9724,7;596
1543395600000;9728,7;9743,7;9727,7;9730,7;1751
1543399200000;9733,7;9733,7;9722,7;9723,2;241
1543402800000;9724,2;9729,2;9724,2;9729,2;248
1543406400000;9727,2;9731,2;9722,7;9725,7;400
1543410000000;9726,7;9731,2;9723,7;9726,7;629
1543417200000;9736,7;9743,2;9726,2;9737,7;1370
1543420800000;9742,2;9743,7;9732,2;9733,2;745
1543424400000;9733,7;9733,7;9673,2;9689,7;3166
1543428000000;9689,2;9700,7;9657,7;9665,2;3043
1543435200000;9671,6;9700,7;9657,7;9665,2;3656
1543438800000;9671,6;9677,6;9671,1;9677,1;165
1543467600000;9659,1;9677,1;9654,1;9659,6;1098
1543471200000;9659,2;9664,7;9656,7;9663,2;211
1543474800000;9661,2;9667,2;9660,2;9662,7;201
1543478400000;9655,2;9675,7;9653,7;9672,7;1004
1543482000000;9673,2;9679,7;9672,2;9676,2;550
1543485600000;9675,7;9689,7;9673,7;9689,2;314
1543489200000;9689,7;9692,2;9681,7;9683,7;412
1543492800000;9683,2;9684,7;9663,7;9668,7;929
1543496400000;9668,2;9677,7;9658,2;9677,7;623
1543503600000;9669,7;9684,2;9669,2;9670,7;1071
1543507200000;9671,7;9681,7;9662,2;9669,7;1307
1543510800000;9672,7;9680,7;9672,2;9680,7;258
1543514400000;9675,2;9683,7;9673,7;9675,7;637
1543518000000;9672,6;9685,6;9666,6;9671,6;789
1543521600000;9669,1;9673,6;9665,1;9669,1;394
1543525200000;9669,6;9671,6;9667,1;9667,1;101
1543539600000;9669,6;9673,1;9669,1;9669,1;76
1543543200000;9669,6;9672,1;9663,6;9663,6;149
1543546800000;9663,6;9668,6;9662,6;9667,1;121
1543550400000;9665,6;9669,6;9665,6;9668,1;60
1543554000000;9669,1;9670,1;9666,6;9669,1;80
1543557600000;9668,6;9671,2;9664,7;9669,2;151
1543561200000;9669,7;9676,7;9668,2;9676,2;317
1543564800000;9676,7;9680,2;9670,7;9670,7;393
1543568400000;9671,7;9684,2;9669,7;9683,7;262
1543572000000;9684,2;9692,7;9682,7;9685,7;466
1543575600000;9686,2;9686,2;9681,2;9685,2;329
1543579200000;9685,7;9691,7;9684,7;9688,2;167
1543597200000;9707,2;9715,7;9682,7;9708,2;4063
1543600800000;9720,2;9723,2;9713,2;9720,7;942
1543604400000;9716,1;9719,1;9716,1;9718,6;140
1543608000000;9718,6;9719,6;9710,1;9716,6;846
1543802400000;9689,1;9698,6;9684,6;9691,6;658
1543806000000;9686,6;9690,6;9686,6;9688,1;210
1543809600000;9688,6;9689,1;9682,6;9687,1;257
1543813200000;9686,6;9689,6;9675,1;9676,6;338
1543816800000;9676,7;9682,2;9675,7;9678,7;302
1543820400000;9679,2;9680,2;9663,2;9668,2;785
1543824000000;9668,7;9677,2;9666,2;9668,2;454
1543827600000;9667,7;9678,7;9667,7;9674,7;317
1543831200000;9686,2;9691,2;9672,2;9690,2;534
1543834800000;9702,2;9706,7;9688,7;9701,7;672
1543838400000;9699,7;9704,2;9693,7;9698,7;477
1543842000000;9695,7;9703,2;9691,2;9703,2;493
1543845600000;9703,7;9703,7;9691,7;9692,2;207
1543852800000;9689,7;9692,2;9679,2;9683,2;720
1543856400000;9681,7;9698,7;9678,2;9683,2;1490
1543860000000;9686,2;9690,7;9684,7;9685,2;218
1543867200000;9696,1;9697,6;9685,2;9693,1;540
1543870800000;9691,1;9693,6;9686,6;9690,6;98
1543892400000;9675,1;9693,6;9671,1;9671,1;580
1543896000000;9674,1;9674,1;9668,1;9669,1;99
1543899600000;9665,6;9674,1;9662,6;9667,6;665
1543903200000;9668,1;9669,2;9658,7;9660,7;339
1543906800000;9660,2;9667,7;9656,7;9662,7;519
1543910400000;9664,2;9667,7;9649,7;9657,2;942
1543914000000;9648,2;9660,2;9629,7;9635,7;1278
1543917600000;9635,2;9641,2;9634,7;9639,2;595
1543921200000;9638,7;9644,2;9631,2;9644,2;253
1543946400000;9688,2;9706,2;9637,7;9695,7;7394
1543950000000;9690,7;9691,2;9684,7;9689,6;1084
1543953600000;9689,1;9690,1;9687,6;9689,1;114
1543957200000;9689,6;9693,1;9688,6;9691,1;262
1543971600000;9693,1;9696,6;9692,1;9696,6;167
1543978800000;9701,1;9707,6;9695,1;9700,6;639
1543982400000;9703,1;9706,6;9699,6;9704,6;124
1543986000000;9704,1;9711,1;9703,6;9708,1;200
1543993200000;9704,7;9713,7;9700,2;9706,7;585
1543996800000;9703,7;9709,2;9699,2;9704,7;203
1544000400000;9696,2;9705,2;9689,7;9695,7;596
1544004000000;9695,2;9695,7;9688,7;9688,7;201
1544007600000;9689,2;9693,7;9677,7;9678,2;379
1544011200000;9678,7;9683,2;9676,2;9679,2;555
