Datetime;Open;High;Low;Close;Vol
1542841200000;200,4;201,4;197,5;199,9;99344
1542844800000;200;200,4;197,9;198,4;3901
1542848400000;198;200,4;198;200,3;4793
1542852000000;199,9;200,4;199,6;199,9;1610
1542855600000;201;201;199,9;200,4;4120
1542859200000;200,5;200,5;199,2;199,2;1371
1542862800000;199,2;199,89999999999998;198,89999999999998;199,39999999999998;1906
1542866400000;199,5;199,5;198,4;198,4;1248
1542873600000;200,3;200,5;198;200,5;4464
1542880800000;201;203;200;202;19691
1542891600000;201,7;201,7;201;201;867
1542895200000;201,1;202;199,79999999999998;200,5;12418
1542898800000;200,7;201,6;199,5;201;8428
1542927600000;201,5;203;200,9;201,4;4630
1542931200000;200,9;201;200,4;200,4;1047
1542938400000;201;201,5;199,9;200,9;2756
1542942000000;200,5;200,9;199,9;200,4;2376
1542949200000;201,9;203,20000000000002;200,4;203,20000000000002;3305
1542952800000;202,9;202,9;201,3;201,70000000000002;1058
1542956400000;201,6;202,4;200,2;200,5;3465
1542960000000;200,2;201,5;200,2;200,5;2818
1542963600000;199,7;201,5;199,39999999999998;199,5;14089
1542967200000;200;201;199,8;201;2880
1542970800000;201,5;202;200,5;201,3;10047
1542974400000;201,8;202,3;201;202;4198
1542978000000;201,2;203,5;200,5;203,1;15107
1542981600000;203;205;202;203;71858
1542985200000;202,5;203;200,5;201;83447
1542988800000;200,7;201,5;199;201;52417
1542992400000;200,8;202;199,5;201;37551
1543186800000;201,2;203,89999999999998;200,39999999999998;201,2;11273
1543197600000;200,9;201,9;199,5;200,6;12276
1543201200000;200,4;200,4;199,4;199,5;3186
1543204800000;199,7;200,39999999999998;199,39999999999998;199,89999999999998;1170
1543212000000;199,7;199,89999999999998;198,89999999999998;199,1;3843
1543215600000;197,9;200;197,4;197,5;3905
1543219200000;197,1;197,1;196,29999999999998;196,5;2396
1543222800000;195,2;196,29999999999998;194,5;195;11867
1543226400000;195,5;196;194,5;195,5;3411
1543230000000;196,1;196,5;195,2;196;5912
1543233600000;196;196,5;195;196;5466
1543237200000;195,9;196,5;194,5;195,8;10140
1543240800000;195,5;197,2;194;194;75038
1543244400000;194,5;195;191,5;192;80341
1543248000000;192,2;194,2;191,5;193;47325
1543255200000;193;193,9;191,5;191,5;37646
1543258800000;191,8;194,70000000000002;190,8;193,5;71341
1543262400000;191,5;192,3;189,3;189,3;52979
1543266000000;189,5;190,4;187,9;188,6;15014
1543273200000;191,4;192,70000000000002;191,4;191,9;2009
1543276800000;192,2;193,6;191,89999999999998;193,39999999999998;4651
1543284000000;193,7;194,5;191,89999999999998;192,5;6338
1543287600000;192,4;192,9;190,9;191,4;2681
1543291200000;191,4;191,4;190,4;190,4;1765
1543302000000;191;191,9;186,5;190,7;24863
1543305600000;190,5;192,2;190;190,5;15401
1543309200000;190,4;190,5;188,5;189,9;11052
1543312800000;190,2;192;190;191,5;12339
1543316400000;192;193,5;191,5;191,5;8904
1543320000000;192;193,5;191,7;193,5;7092
1543323600000;194;194;190,5;191,5;12590
1543327200000;191;194;190;191,5;88686
1543330800000;191,5;193;188,5;188,5;107211
1543334400000;189;189,5;187,5;188,5;61422
1543341600000;189;190,1;186,9;188,4;142219
1543363200000;186,3;190,10000000000002;185,9;188,4;145945
1543366800000;186,4;186,4;186,1;186,4;511
1543370400000;186,5;187;185,4;185,6;4219
1543374000000;185,9;186,1;185,6;185,9;615
1543377600000;185,6;186,4;185,29999999999998;185,6;2496
1543417200000;185;188;183;184,4;188180
1543420800000;186;187;185;186,5;49679
1543424400000;185,7;185,7;179;180;132859
1543428000000;180,5;181,5;180,5;180,6;15629
1543431600000;180,3;181,20000000000002;178,8;180,8;86867
1543435200000;181;181,3;178,8;180,8;53629
1543438800000;180,7;182,89999999999998;180,39999999999998;181,89999999999998;7659
1543453200000;182,1;183,2;181,79999999999998;182,9;2988
1543471200000;184,7;184,89999999999998;180,89999999999998;181,89999999999998;9855
1543474800000;183;184,4;182,8;183;3775
1543478400000;183,1;183,5;182,5;183,5;7800
1543482000000;183,1;184,5;183;184;6011
1543485600000;184,1;184,5;183,2;184;5324
1543489200000;184,2;185;183,5;184,5;6113
1543492800000;184,6;184,7;183;184,5;4998
1543496400000;184,7;184,7;183;183,5;8235
1543500000000;183,7;185,5;181,79999999999998;185;72115
1543503600000;184,7;191,5;184,5;189,5;110305
1543507200000;190,2;190,5;188,5;189,5;17465
1543510800000;184,7;190;184,29999999999998;185,5;112267
1543514400000;185;186,5;184;184;28245
1543518000000;184,1;185;181,29999999999998;181,29999999999998;57888
1543521600000;181,2;184,79999999999998;181,2;183,79999999999998;51108
